epoch,batch,loss,epoch_time_sec,batch_time_ms,best_loss
1,50,0.076996,,363.54,
1,78,0.068087,,370.819,
1,,0.111826,28.2155,,0.111826
2,50,0.0596994,,373.223,
2,78,0.0536096,,375.6,
2,,0.0596134,28.9984,,0.0596134
3,50,0.046961,,380.431,
3,78,0.0436779,,382.964,
3,,0.0480127,29.5413,,0.0480127
4,50,0.0432833,,384.365,
4,78,0.0385631,,384.077,
4,,0.0416027,29.9004,,0.0416027
5,50,0.0364918,,387.62,
5,78,0.0380676,,388.971,
5,,0.0375067,30.1222,,0.0375067
6,50,0.0337522,,389.438,
6,78,0.0319428,,388.347,
6,,0.0346407,30.412,,0.0346407
7,50,0.0329956,,393.472,
7,78,0.0329454,,394.039,
7,,0.0324814,30.6701,,0.0324814
8,50,0.0305345,,395.837,
8,78,0.032425,,397.316,
8,,0.0307743,30.8475,,0.0307743
9,50,0.0292584,,396.437,
9,78,0.0240797,,395.994,
9,,0.0294223,31.0051,,0.0294223
10,50,0.0286726,,396.781,
10,78,0.026952,,399.12,
10,,0.028259,31.082,,0.028259
11,50,0.0267943,,396.016,
11,78,0.0265382,,396.712,
11,,0.0273101,31.0882,,0.0273101
12,50,0.0278381,,400.53,
12,78,0.0243751,,397.303,
12,,0.0264751,31.1551,,0.0264751
13,50,0.0250309,,399.222,
13,78,0.0239129,,398.677,
13,,0.0257541,31.1821,,0.0257541
14,50,0.0251736,,400.764,
14,78,0.0267983,,400.63,
14,,0.0251084,31.2151,,0.0251084
15,50,0.0246608,,399.889,
15,78,0.0248476,,400.783,
15,,0.0245372,31.2131,,0.0245372
16,50,0.0244928,,400.743,
16,78,0.0228708,,399.042,
16,,0.0240138,31.2102,,0.0240138
17,50,0.0215185,,400.311,
17,78,0.0227394,,401.346,
17,,0.0235501,31.1964,,0.0235501
18,50,0.0228876,,400.689,
18,78,0.0223239,,399.127,
18,,0.0231215,31.1918,,0.0231215
19,50,0.0226631,,400.589,
19,78,0.0243853,,401.077,
19,,0.0227226,31.2039,,0.0227226
20,50,0.020955,,400.823,
20,78,0.0206299,,401.692,
20,,0.0223558,31.2187,,0.0223558
