epoch,batch,loss,epoch_time_sec,batch_time_ms,best_loss
1,50,0.0767199,,40.1585,
1,100,0.0628739,,39.9461,
1,150,0.0520141,,40.0027,
1,200,0.0497068,,39.9184,
1,250,0.0424013,,39.4989,
1,300,0.0405485,,39.8213,
1,350,0.0383037,,39.4827,
1,400,0.0358446,,40.1965,
1,450,0.0330931,,40.917,
1,500,0.0311221,,40.0255,
1,550,0.0332413,,39.935,
1,600,0.0312027,,41.0309,
1,650,0.0297066,,40.0865,
1,700,0.0292104,,40.8702,
1,750,0.0268064,,40.1532,
1,781,0.0273332,,40.0432,
1,,0.0452575,31.6781,,0.0452575
2,50,0.0280754,,40.0789,
2,100,0.0272683,,40.234,
2,150,0.027959,,40.1768,
2,200,0.0267915,,40.1624,
2,250,0.0251769,,41.1236,
2,300,0.0263404,,40.262,
2,350,0.0245265,,41.2419,
2,400,0.0231763,,41.2107,
2,450,0.0228088,,40.0413,
2,500,0.0264803,,41.0788,
2,550,0.0234117,,40.1077,
2,600,0.0233392,,40.134,
2,650,0.0222026,,40.1267,
2,700,0.0202754,,41.0912,
2,750,0.0230059,,40.0638,
2,781,0.0206489,,40.0899,
2,,0.0244327,31.6275,,0.0244327
3,50,0.0222677,,40.2223,
3,100,0.0221132,,40.2141,
3,150,0.0221199,,41.0873,
3,200,0.0235827,,41.1321,
3,250,0.02162,,41.1004,
3,300,0.0208358,,40.1685,
3,350,0.0213881,,41.0752,
3,400,0.0215311,,41.1656,
3,450,0.0211647,,41.1302,
3,500,0.0206801,,41.9854,
3,550,0.0187998,,41.2062,
3,600,0.0190986,,41.2351,
3,650,0.0200377,,41.4241,
3,700,0.0199705,,41.5609,
3,750,0.0203002,,41.541,
3,781,0.0188945,,41.2512,
3,,0.020743,31.9708,,0.020743
4,50,0.0195752,,41.247,
4,100,0.0187376,,41.417,
4,150,0.0197868,,41.4403,
4,200,0.0174456,,41.5146,
4,250,0.0186567,,41.662,
4,300,0.0205896,,41.1481,
