epoch,batch,loss,epoch_time_sec,batch_time_ms,best_loss
1,50,0.0767199,,38.1619,
1,100,0.062874,,38.9776,
1,150,0.0520141,,38.2653,
1,200,0.0497067,,38.1482,
1,250,0.0424013,,38.457,
1,300,0.0405484,,38.1127,
1,350,0.0383037,,38.4623,
1,400,0.0358446,,38.41,
1,450,0.0330931,,38.2282,
1,500,0.0311221,,38.2864,
1,550,0.0332413,,38.2418,
1,600,0.0312027,,38.4121,
1,650,0.0297065,,38.6635,
1,700,0.0292104,,38.3574,
1,750,0.0268064,,38.3712,
1,781,0.0273332,,38.5902,
1,,0.0452575,31.2557,,0.0452575
2,50,0.0280754,,38.4688,
2,100,0.0272683,,38.4738,
2,150,0.027959,,38.3423,
2,200,0.0267914,,38.4652,
2,250,0.0251769,,38.4343,
2,300,0.0263404,,38.5895,
2,350,0.0245265,,38.5855,
2,400,0.0231763,,38.6218,
2,450,0.0228088,,38.6191,
2,500,0.0264804,,38.4992,
2,550,0.0234117,,38.4114,
2,600,0.0233392,,38.5419,
2,650,0.0222026,,38.61,
2,700,0.0202754,,39.4927,
2,750,0.0230059,,38.2969,
2,781,0.0206489,,38.5593,
2,,0.0244327,30.1189,,0.0244327
3,50,0.0222677,,38.7192,
3,100,0.0221133,,39.2104,
3,150,0.0221199,,38.568,
3,200,0.0235826,,38.7007,
3,250,0.02162,,38.6224,
3,300,0.0208357,,38.8105,
3,350,0.021388,,38.6556,
3,400,0.0215311,,38.4748,
3,450,0.0211647,,38.6451,
3,500,0.02068,,38.7951,
3,550,0.0187998,,38.8492,
3,600,0.0190986,,38.9045,
3,650,0.0200377,,38.6092,
3,700,0.0199705,,38.7301,
3,750,0.0203002,,38.5415,
3,781,0.0188945,,39.3771,
3,,0.020743,30.3047,,0.020743
4,50,0.0195752,,38.8344,
4,100,0.0187375,,38.9493,
4,150,0.0197867,,38.9859,
4,200,0.0174456,,39.5202,
4,250,0.0186567,,38.9102,
4,300,0.0205896,,39.0193,
4,350,0.017645,,39.0638,
4,400,0.0202673,,38.9799,
4,450,0.0177399,,40.079,
4,500,0.0190147,,40.1008,
